ID,Type,Suit,Rank,Influence,Name,Description,Copies,OffensivePower,DefensivePower,GameAltering
MJR_0,Major Arcana,Major Arcana,0,,O. The Fool,Each opponent loses one victory point.,3,1,,
MJR_1,Major Arcana,Major Arcana,1,,I. The Magician,One additional success for each Wand in your Mystick Cross.,3,,1,
MJR_2,Major Arcana,Major Arcana,2,,II. The High Priestess,One additional success for each Sword in your Mystick Cross.,3,,1,
MJR_3,Major Arcana,Major Arcana,3,,III. The Empress,You may add one Power to the pool if you wish.,3,,,1
MJR_4,Major Arcana,Major Arcana,4,,IV. The Emperor,One additional success for each Pentacle in your Mystick Cross.,3,,1,
MJR_5,Major Arcana,Major Arcana,5,,V. The Hierophant,Draw 2 cards.,3,,1,
MJR_6,Major Arcana,Major Arcana,6,,VI. The Lovers,One additional success for each Cup in your Mystick Cross.,3,,1,
MJR_7,Major Arcana,Major Arcana,7,,VII. The Chariot,Each opponent discards the top 2 cards of his/her deck.,3,1,,
MJR_8,Major Arcana,Major Arcana,8,,VIII. Justice,"If any player has more victory points than you, gain 2 victory points.",3,,1,
MJR_9,Major Arcana,Major Arcana,9,,IX. The Hermit,Choose and discard an Attachment or Environment card in play.,3,1,,
MJR_10,Major Arcana,Major Arcana,10,,X. Wheel of Fortune,Take one additional move after this one. This move may not be used to draw.,3,,1,
MJR_11,Major Arcana,Major Arcana,11,,XI. Strength,Your Pawns get +1 tarot rank while this card is in your Mystick Cross.,3,,1,
MJR_12,Major Arcana,Major Arcana,12,,XII. The Hanged Man,Take the topmost Pawn from your discard pile and put it into play.,3,,1,
MJR_13,Major Arcana,Major Arcana,13,,XIII. Death,You may put all your cards in hand on the bottom of your deck in any order and draw 5 new cards. ,3,,1,
MJR_14,Major Arcana,Major Arcana,14,,XIV. Temperance,You may choose and discard up to 2 cards from your Mystick Cross.,3,,1,
MJR_15,Major Arcana,Major Arcana,15,,XV. The Devil,Choose one Pawn in play. Remove from the game all Power on that Pawn.,3,1,,
MJR_16,Major Arcana,Major Arcana,16,,XVI. The Tower,"The Pawn in play with the highest influence is discarded. If there is a tie, choose one of the tied Pawns and discard it. ",3,,,1
MJR_17,Major Arcana,Major Arcana,17,,XVII. The Star,Look at the top 3 cards of your deck; put one in your hand and put the rest on the bottom of your deck in any order.,3,,1,
MJR_18,Major Arcana,Major Arcana,18,,XVIII. The Moon,Put the top 4 cards from your discard pile on the bottom of your deck in any order. ,3,,1,
MJR_19,Major Arcana,Major Arcana,19,,XIX. The Sun,Pawns in play lose all printed traits while this card is in your Mystick Cross.,3,,,1
MJR_20,Major Arcana,Major Arcana,20,,XX. Judgement,Choose a Pawn in play with tarot rank 5 or less. Return that Pawn to its owner's hand.,3,1,,
MJR_21,Major Arcana,Major Arcana,21,,XXI. The World,"Choose a Pawn in play. Move one Power from the pool to that Pawn, if able.",3,,1,
W_A_a,Environment,Wands,Ace,,Cycle of Fire,"After each initiative draw, choose and discard one Pawn in play belonging to each player.",1,,,1
W_A_b,Environment,Wands,Ace,,Garden of Babylon,"After each initiative draw, gain one victory point for every 2 Power in the pool.",1,,1,
W_A_c,Environment,Wands,Ace,,Wilhelmina Crowley's Cave,"Whenever any Pawn leaves play, remove any Power it had from the game.",1,,,1
W_2_a,Environment,Wands,2,,Death Cult,"Each time a Pawn is discarded from play, gain one victory point.",1,,1,
W_2_b,Environment,Wands,2,,Endgame,"After each initiative draw, players whose scores are 10 or more points below any pther player are eliminated from the game.",1,,,1
W_2_c,Environment,Wands,2,,Rain of Destruction,You may use your move and discard an Attachment or Environment card from your hand to discard an Environment from play.,1,,1,
W_3_a,Pawn,Wands,3,3,Femme Fatale,Aggression. Gain 2 victory points each time this Pawn discards another Pawn using the Aggression trait.,1,1,,
W_3_b,Pawn,Wands,3,5,Pyromancer,"""Of the four elements, Fire is the least understood intellectually and yet the most understood intuitively. Its students personify this paradox.""",1,1,,
W_3_c,Pawn,Wands,3,4,Street Mage,You may use a move to move one Power from this Pawn to the pool.,1,1,,
W_4_a,Pawn,Wands,4,3,Covetous Madwand,"When this Pawn successfully challenges another Pawn, gain one additional victory point.",1,1,,
W_4_b,Pawn,Wands,4,4,Fourth Order Magus,"""I started getting promotions after I stopped asking why they always use needlessly obscure and unpronouncable names for everything. Now whenever anyone else asks, I tell them to be quiet. It's hard not to laugh.""",1,1,,
